uniqueID,name,gender,partyName,year_elected
Cairns1929,"Cairns, Kevin",male,Liberal Party of Australia,1963
Cairns1929,"Cairns, Kevin",male,Liberal Party of Australia,1974
Calder1916,"Calder, Sam",male,Australian Country Party,1966
Calder1916,"Calder, Sam",male,National Country Party,1966
Calvert1940,"Calvert, Paul",male,Liberal Party of Australia,NA
Calwell1896,"Calwell, Arthur",male,Australian Labor Party,1940
Cameron1851,"Cameron, Donald Norman",male,Free Trade,1901
Cameron1851,"Cameron, Donald Norman",male,Free Trade,1904
Cameron1857,"Cameron, Cyril",male,Protectionist Party,NA
Cameron1873,"Cameron, Malcolm",male,Liberal Party of Australia,1922
Cameron1873,"Cameron, Malcolm",male,Nationalist Party,1922
Cameron1873,"Cameron, Malcolm",male,United Australia Party,1922
Cameron1878,"Cameron, Don",male,Australian Labor Party,NA
Cameron1879,"Cameron, Donald Charles",male,Nationalist Party,1919
Cameron1895,"Cameron, Archie",male,Australian Country Party,1934
Cameron1895,"Cameron, Archie",male,Liberal Country League,1934
Cameron1895,"Cameron, Archie",male,Liberal Party of Australia,1934
Cameron1895,"Cameron, Archie",male,Liberal Party of Australia,1934
Cameron1900,"Cameron, Donald Alastair",male,Liberal Party of Australia,1949
Cameron1913,"Cameron, Clyde",male,Australian Labor Party,1949
Cameron1914,"Cameron, Don Newton",male,Australian Labor Party,NA
Cameron1917,"Cameron, Don James",male,Australian Labor Party,1961
Cameron1930,"Cameron, Ewen",male,Liberal Party of Australia,1977
Cameron1935,"Cameron, Martin",male,Liberal Party of Australia,NA
Cameron1938,"Cameron, Ian",male,National Country Party,1980
Cameron1938,"Cameron, Ian",male,National Party of Australia,1980
Cameron1940,"Cameron, Don Milner",male,Liberal Party of Australia,1977
Cameron1940,"Cameron, Don Milner",male,Liberal Party of Australia,1966
Cameron1940,"Cameron, Don Milner",male,Liberal Party of Australia,1983
Cameron1965,"Cameron, Ross",male,Liberal Party of Australia,1996
CameronDouglas1951,"Cameron, Doug",male,Australian Labor Party,NA
CameronEoin1951,"Cameron, Eoin",male,Liberal Party of Australia,1993
Campbell1939,"Campbell, Graeme",male,Australian Labor Party,1980
Campbell1939,"Campbell, Graeme",male,Independent,1980
Campbell1943,"Campbell, George",male,Australian Labor Party,NA
Campbell1959,"Campbell, Ian",male,Liberal Party of Australia,NA
Campbell1972,"Campbell, Jodie",female,Australian Labor Party,2007
Canavan1980,"Canavan, Matt",male,The Nationals,NA
Cann1871,"Cann, George",male,Australian Labor Party,1910
Cant1907,"Cant, Harry",male,Australian Labor Party,NA
Carige1938,"Carige, Colin",male,National Country Party,1975
Carlton1935,"Carlton, Jim",male,Liberal Party of Australia,1977
Carpenter1863,"Carpenter, William",male,Australian Labor Party,1903
Carr1875,"Carr, Ernie",male,Australian Labor Party,1906
Carr1875,"Carr, Ernie",male,Nationalist Party,1906
Carr1947,"Carr, Bob",male,Australian Labor Party,NA
Carr1955,"Carr, Kim",male,Australian Labor Party,NA
Carrick1918,"Carrick, John",male,Liberal Party of Australia,NA
Carroll1872,"Carroll, William",male,Australian Country Party,NA
Casey1890,"Casey, Richard",male,Liberal Party of Australia,1931
Casey1890,"Casey, Richard",male,Liberal Party of Australia,1949
Casey1890,"Casey, Richard",male,United Australia Party,1931
Casey1890,"Casey, Richard",male,United Australia Party,1949
Cash1919,"Cash, Doug",male,Liberal Party of Australia,1958
Cash1970,"Cash, Michaelia",female,Liberal Party of Australia,NA
Cass1927,"Cass, Moss",male,Australian Labor Party,1969
Catley1942,"Catley, Bob",male,Australian Labor Party,1990
Catts1877,"Catts, James",male,Australian Labor Party,1906
Causley1940,"Causley, Ian",male,The Nationals,1996
Causley1940,"Causley, Ian",male,National Party of Australia,1996
Cavanagh1913,"Cavanagh, Jim",male,Australian Labor Party,NA
Chalmers1978,"Chalmers, Jim",male,Australian Labor Party,2013
Chamarette1948,"Chamarette, Christabel",female,The Greens (WA) Inc,NA
Chamberlain1884,"Chamberlain, Jack",male,Liberal Party of Australia,NA
Chambers1897,"Chambers, Cyril",male,Australian Labor Party,1943
Champion1972,"Champion, Nick",male,Australian Labor Party,2007
Champion1972,"Champion, Nick",male,Australian Labor Party,2019
Chandler1990,"Chandler, Claire",female,Liberal Party of Australia,NA
Chaney1914,"Chaney, Fred Charles",male,Liberal Party of Australia,1955
Chaney1941,"Chaney, Fred Michael",male,Liberal Party of Australia,1990
Chanter1845,"Chanter, John",male,Australian Labor Party,1901
Chanter1845,"Chanter, John",male,Australian Labor Party,1904
Chanter1845,"Chanter, John",male,Australian Labor Party,1914
Chanter1845,"Chanter, John",male,Nationalist Party,1901
Chanter1845,"Chanter, John",male,Nationalist Party,1904
Chanter1845,"Chanter, John",male,Nationalist Party,1914
Chanter1845,"Chanter, John",male,Nationalist and Farmers,1901
Chanter1845,"Chanter, John",male,Nationalist and Farmers,1904
Chanter1845,"Chanter, John",male,Nationalist and Farmers,1914
Chanter1845,"Chanter, John",male,Protectionist Party,1901
Chanter1845,"Chanter, John",male,Protectionist Party,1904
Chanter1845,"Chanter, John",male,Protectionist Party,1914
Chapman1864,"Chapman, Austin",male,Liberal Party of Australia,1901
Chapman1864,"Chapman, Austin",male,Nationalist Party,1901
Chapman1864,"Chapman, Austin",male,Protectionist Party,1901
Chapman1879,"Chapman, John",male,Australian Country Party,NA
Chapman1949,"Chapman, Grant",male,Liberal Party of Australia,1975
Charles1936,"Charles, Bob",male,Liberal Party of Australia,1990
Charles1948,"Charles, David",male,Australian Labor Party,1980
Charleston1848,"Charleston, David",male,Free Trade,NA
Charlesworth1952,"Charlesworth, Ric",male,Australian Labor Party,1983
Charlton1866,"Charlton, Matthew",male,Australian Labor Party,1910
Chataway1864,"Chataway, Thomas",male,Anti-Socialist Party,NA
Cheeseman1976,"Cheeseman, Darren",male,Australian Labor Party,2007
Cherry1965,"Cherry, John",male,Australian Democrats,NA
Chester1967,"Chester, Darren",male,The Nationals,2008
Chesters1980,"Chesters, Lisa",female,Australian Labor Party,2013
Chifley1885,"Chifley, Ben",male,Australian Labor Party,1928
Chifley1885,"Chifley, Ben",male,Australian Labor Party,1940
